Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.4019,Mon Oct 15 00:15:04 +0000 2018,0.816,0.0,0.184,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","President Trump is doing Democrats a big favor, writes @DeanObeidallah for @CNNOpinion https://t.co/0tS9ViCcxt https://t.co/DjiRUK7wII",219
0.0,Mon Oct 15 00:00:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""SNL"" tackles President Trump's meeting with Kanye West https://t.co/7pgedGnuKO https://t.co/drUa8b85b6",220
0.0,Mon Oct 15 05:01:53 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","CNN's @brianstelter: The President has been chatty lately, holding pressers and interviews on Air Force One. The re… https://t.co/nh0ZNDpMa4",221
-0.5994,Mon Oct 15 04:38:51 +0000 2018,0.766,0.234,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Hillary Clinton hit back against criticism her husband, former President Bill Clinton, should have resigned in the… https://t.co/8n8IFbrka8",222
-0.296,Mon Oct 15 04:31:02 +0000 2018,0.901,0.099,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This Kentucky mother expected answers after her son, who has autism, came home from school covered in cuts and brui… https://t.co/RkwbJDa74u",223
0.0,Mon Oct 15 04:00:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",This baby could become the youngest person to travel to all 50 states. She's only 5 months old.… https://t.co/qakDBBynXe,224
0.0,Mon Oct 15 03:40:30 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","President Trump said in a CBS '60 Minutes' interview that Russian President Vladimir Putin is ""probably"" involved i… https://t.co/KdsUHSXxVA",225
0.2732,Mon Oct 15 03:31:04 +0000 2018,0.9,0.0,0.1,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Ronna McDaniel, the chair of the Republican National Committee, has accepted an offer by President Trump to stay in… https://t.co/cwJdJLtyfc",226
0.0,Mon Oct 15 03:30:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Astronomers witness the birth of a binary star system for the first time https://t.co/ixdl4e4Ulp https://t.co/9mrwNncEUb,227
0.296,Mon Oct 15 03:20:57 +0000 2018,0.901,0.0,0.099,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The first responders helping in the aftermath of Hurricane Michael are also having to cope with their homes being d… https://t.co/Vn9ycqgdbn,228
-0.3612,Mon Oct 15 03:02:10 +0000 2018,0.804,0.136,0.06,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",At least 25 people were injured after a bus and car crashed on a Los Angeles freeway on Sunday https://t.co/ADpc1zxi2Q,229
-0.2023,Mon Oct 15 03:00:00 +0000 2018,0.893,0.107,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Georgia governor nominee Stacey Abrams slams her GOP opponent suggesting he’s using a controversial verification la… https://t.co/ZD8Ojv2U4G,230
-0.2023,Mon Oct 15 02:43:25 +0000 2018,0.65,0.211,0.138,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A lawsuit against Harvard brought on behalf of Asian-American students who failed to gain admission goes to trial o… https://t.co/glOvtcqYwS,231
-0.4939,Mon Oct 15 02:37:05 +0000 2018,0.873,0.127,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","65 years after the UK carried out nuclear bomb tests in Australia, their effects are still being felt -- and the de… https://t.co/ReArKjJTA3",232
-0.7506,Mon Oct 15 02:30:06 +0000 2018,0.766,0.234,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Matthew Shepard died 20 years ago after being beaten, burned and left tied to a fence in Wyoming by two men who tar… https://t.co/jlTjDfUnic",233
0.7906,Mon Oct 15 02:00:03 +0000 2018,0.696,0.0,0.304,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Someone bought the domain bearing Supreme Court Justice Brett Kavanaugh's name and turned it into a site dedicated… https://t.co/T53fTnNXwh,234
0.0,Mon Oct 15 01:35:33 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Pop star Ariana Grande and SNL performer Pete Davidson have split up, a source close to the singer tells CNN https://t.co/Sh9heGKPac",235
0.0,Mon Oct 15 01:30:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Julián Castro, a former housing and urban development secretary in the Obama administration, rallys Iowa Democrats… https://t.co/xC9xDVWSm2",236
0.0,Mon Oct 15 01:00:12 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Britain's Princess Eugenie and Jack Brooksbank release official wedding photographs https://t.co/Wjg70Gk0ze https://t.co/oxRE1HLjpO,237
0.3818,Mon Oct 15 00:30:13 +0000 2018,0.843,0.0,0.157,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","EPA changes are an effort to ""gut rules"" that protect public, scientist says https://t.co/3jq9jyHLyt https://t.co/7WyjgHP6KM",238
0.4019,Mon Oct 15 00:15:04 +0000 2018,0.816,0.0,0.184,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","President Trump is doing Democrats a big favor, writes @DeanObeidallah for @CNNOpinion https://t.co/0tS9ViCcxt https://t.co/DjiRUK7wII",239
0.0,Mon Oct 15 00:00:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""SNL"" tackles President Trump's meeting with Kanye West https://t.co/7pgedGnuKO https://t.co/drUa8b85b6",240
0.0,Sun Oct 14 23:45:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Seattle Seahawks right ship on overseas trip https://t.co/C75YXhsiwh https://t.co/TyohJKHBoq,241
-0.0258,Sun Oct 14 23:30:04 +0000 2018,0.777,0.114,0.109,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","When the case of missing journalist Jamal Khashoggi is solved, the story doesn't end https://t.co/A3fJarzBls | Anal… https://t.co/H94wMlEkpg",242
0.4019,Sun Oct 14 23:15:06 +0000 2018,0.828,0.0,0.172,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Here's what else you need to know to Start Your Week Smart https://t.co/rJztsdYClM https://t.co/OoSG1Lh3lu,243
-0.6486,Sun Oct 14 23:00:04 +0000 2018,0.419,0.419,0.162,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","4 dead, 1 injured in shooting at toddler's birthday party https://t.co/j9CSFuT8ID https://t.co/83KETjm4Sh",244
-0.6705,Sun Oct 14 22:45:06 +0000 2018,0.743,0.257,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",20 people killed when flooding wipes out part of school in Indonesia https://t.co/uh4RDc0nqO https://t.co/i7El9K5eCl,245
0.0,Sun Oct 14 22:30:10 +0000 2018,0.714,0.143,0.143,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Thousands join Hurricane Michael recovery efforts as many residents remain missing https://t.co/S7eqFxQXAh https://t.co/eYp7y3X9qc,246
0.3182,Sun Oct 14 22:15:07 +0000 2018,0.813,0.0,0.187,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The huge ""blackout"" that may be deepening market turbulence https://t.co/eqc3rJ5ydY https://t.co/h9tgF6dwG9",247
0.0,Sun Oct 14 22:00:15 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Republicans didn't run a single TV ad in 16 key races during first week in October https://t.co/rcGIh9YzW3 https://t.co/tjo2f2dxAC,248
0.0,Sun Oct 14 21:45:08 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",CNN's Brooke Baldwin recounts her bird's-eye view of Hurricane Michael https://t.co/A9YwAJPtKR https://t.co/JVn6kzTK9M,249
0.5859,Sun Oct 14 21:30:10 +0000 2018,0.833,0.0,0.167,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Americans are becoming more likely to think President Trump will win a second term in office, according to a new CN… https://t.co/Kk49UwFraO",250
0.0,Sun Oct 14 21:15:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Florida schools scramble to get students back in class after Hurricane Michael https://t.co/Vm6oszri73 https://t.co/avZ6f1I2Kf,251
-0.6486,Sun Oct 14 21:00:13 +0000 2018,0.719,0.281,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Nine dead on Nepal's Mt. Gurja after snowstorm, officials say https://t.co/2lLE8t0OfC https://t.co/RufyA0JjeB",252
-0.7717,Sun Oct 14 20:45:05 +0000 2018,0.729,0.271,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Bernie Sanders says that if missing journalist Jamal Khashoggi was killed by Saudis, the US should distance it… https://t.co/WqZlb9mA8t",253
-0.6597,Sun Oct 14 20:30:09 +0000 2018,0.707,0.293,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Saudi Arabia's stock market plunges on fear of sanctions over missing journalist Jamal Khashoggi… https://t.co/koFflp3rQd,254
0.0,Sun Oct 14 20:15:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Michael Cohen, President Trump's former personal attorney, says this year's elections ""might be the most important… https://t.co/1mSFWtz8Zn",255
-0.34,Sun Oct 14 20:00:04 +0000 2018,0.862,0.138,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Georgia Democratic gubernatorial nominee Stacey Abrams accuses her Republican opponent of voter suppression and say… https://t.co/B9TezcNjwG,256
0.2023,Sun Oct 14 19:45:07 +0000 2018,0.909,0.0,0.091,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Here are the stories our top political reporters are talking about in this week's ""Inside Politics"" forecast, where… https://t.co/VdEkUxpc8p",257
0.0,Sun Oct 14 19:30:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Voting access becomes flashpoint in midterms just weeks away from Election Day https://t.co/PetucuOzLC https://t.co/xdkmyWDed3,258
-0.802,Sun Oct 14 19:15:05 +0000 2018,0.714,0.286,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","More than 20 migrants were killed and at least 13 others were injured when a truck carrying them overturned, Turkey… https://t.co/LoquVbb1HY",259
0.2144,Sun Oct 14 19:01:08 +0000 2018,0.919,0.0,0.081,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","When it comes to control of the Senate after the midterms, the odds are still in Republicans’ favor, but there are… https://t.co/eGAwHIPGi6",260
-0.128,Sun Oct 14 18:45:10 +0000 2018,0.829,0.098,0.073,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","President Trump says he's unsure how long Defense Secretary James Mattis planned to stay in his administration, add… https://t.co/N5zYyNUgEF",261
0.6597,Sun Oct 14 18:30:09 +0000 2018,0.735,0.0,0.265,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Poliwood — the intersection of politics and Hollywood — is capable of elevating policy debates and inspiring broad… https://t.co/DI9yjUUO2g,262
0.2023,Sun Oct 14 18:15:11 +0000 2018,0.909,0.0,0.091,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sen. Marco Rubio says Treasury Secretary Steven Mnuchin shouldn't attend an economic summit in Saudi Arabia until t… https://t.co/unUFexv231,263
0.7624,Sun Oct 14 18:00:10 +0000 2018,0.681,0.0,0.319,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A cook, a storyteller, a traveler and so much more. Watch Tony’s remarkable journey on a special #PartsUnknown: Ton… https://t.co/Md7knhfvoA",264
