Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Mon Oct 15 09:40:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","🗣 Do you speak Bristol?

#ArmchairBritain | 11.45pm | @BBCOne https://t.co/YnaiZbRfjz",33
0.0,Mon Oct 15 09:14:29 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","💕 The Duchess of Sussex is pregnant and is due to give birth next spring, Kensington Palace has revealed.… https://t.co/T1hJ6rOEFT",34
0.5994,Mon Oct 15 09:05:03 +0000 2018,0.795,0.0,0.205,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🐻🍁😍 Join @BBCSpringwatch in this one-off special as they travel to New England to bring you the most spectacular of… https://t.co/cx8YnHuKeY,35
-0.34,Mon Oct 15 08:01:06 +0000 2018,0.701,0.182,0.117,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎥 World War One, as you've never seen it before - courtesy of #LOTR director Peter Jackson.
#TheyShallNotGrowOld https://t.co/cpe4dGhyTG",36
0.0,Mon Oct 15 07:49:26 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCBreaking: Duchess of Sussex is expecting a baby in the spring, it is announced, as the royal couple begin tour of Australia https://…",37
0.3182,Mon Oct 15 07:10:04 +0000 2018,0.892,0.0,0.108,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🥗 If the world wants to limit climate change, water scarcity and pollution, then we all need to embrace ""flexitaria… https://t.co/oKNzejuQJj",38
-0.6908,Mon Oct 15 06:13:00 +0000 2018,0.761,0.239,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","This woman has been caught red-handed hiring a hitman to kill her husband.

#ClaimedAndShamed | 11am | @BBCOne https://t.co/f8mNmG4VFx",39
0.0,Sun Oct 14 19:04:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂💍 Why rings for fingers... are just called ""rings.""  
#LiveAtTheApollo https://t.co/3lbEQ2iLaS",40
-0.5848,Sun Oct 14 18:07:08 +0000 2018,0.678,0.322,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🥑😲 Bad news, millennials... avocados AREN'T vegan!  
#QI https://t.co/Ne4D8MGcYi",41
-0.5574,Sun Oct 14 17:07:06 +0000 2018,0.847,0.153,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","At least 449 homeless people have died in the UK during the last 12 months, an investigation has found.
👉… https://t.co/hPsvl8BHZD",42
-0.296,Sun Oct 14 15:59:03 +0000 2018,0.612,0.224,0.163,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Dan's cancer journey inspired MILLIONS.

❤️ His story will continue to live on.  https://t.co/ep3Z3RRYNp",43
0.0,Sun Oct 14 15:29:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😍 Princess Eugenie and Jack Brooksbank have released four official photographs from their wedding day.
👉… https://t.co/ECwXuGksLi",44
0.5848,Sun Oct 14 15:05:06 +0000 2018,0.78,0.0,0.22,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","When the going gets tough... have a nap!
😴 Apparently even a quick kip can improve how we process emotional experie… https://t.co/xodiLv2RBE",45
0.0,Sun Oct 14 14:06:01 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎟🚀 Who would you take with you if you were given 10 tickets to the Moon?  https://t.co/VJ0ZJbEqU9,46
-0.4767,Sun Oct 14 12:58:03 +0000 2018,0.671,0.235,0.094,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Simple self defence moves if you find yourself in a bad situation. https://t.co/VD51hykqjo,47
0.5707,Sun Oct 14 12:15:47 +0000 2018,0.707,0.081,0.212,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @bbcdoctorwho: TODAY! 💙💙 The Ghost Monument - Still reeling from their first encounter, can the Doctor and her new friends stay alive lo…",48
0.4215,Sun Oct 14 12:09:50 +0000 2018,0.833,0.0,0.167,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BBCRadio4: He saved his father's life – twice. Eight incredible stories from @nilerodgers' #DesertIslandDiscs: https://t.co/jiJRAnolPH…,49
0.3818,Sun Oct 14 12:09:41 +0000 2018,0.843,0.0,0.157,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BBCScotland: Did you catch a glimpse of the stunning aurora borealis this week? 🌌💫 https://t.co/V3TXSjP5kj,50
0.6705,Sun Oct 14 11:16:05 +0000 2018,0.766,0.0,0.234,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎬 From Tom Hardy as a Marvel character to a new instalment of Halloween starring Jamie Lee Curtis, here are 10 movi… https://t.co/7Q6XX4JaRf",51
0.4404,Sun Oct 14 10:03:04 +0000 2018,0.674,0.0,0.326,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🤔 Is there a better way to count? https://t.co/mA0mpq4PlS,52
